text,intent,maturity_score,entities,category,metadata
organizational structure that is ﬂexible for digital change.",others,1.0,"[('Eggers & Park', 'ORG'), ('2018', 'DATE')]",Culture and People,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digital transformation by SME en-
trepreneurs: A capability perspective.",Organizational Change,0.16,"[('Digital', 'ORG'), ('SME', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The Digital Matrix: New Rules for Business Transformation Through
Technology.",others,1.0,[],Business Models,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Tackling the digitali-
zation challenge: How to beneﬁt from digitalization in practice.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Papers should use the concepts related to digital transformation in the core of the theoretical section (e.g., by being included in hypotheses,
propositions and/or research model) to make sure that digital transformation played a key role in the development of the paper.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We
hope that our discussion and research agenda will stimulate future re-
search on digital transformation.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The organization structure of digital transformation is the third im-
portant theme.",Organizational Change,0.16,"[('third', 'ORDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Today’s ﬁrms
invest
heavily
in
the
development
and
acquisition
of
digital
Table 1
Strategic Imperatives according to Phases of Digital Transformation.",Organizational Change,0.16,"[('Today', 'DATE'), ('Table 1\nStrategic Imperatives', 'PRODUCT'), ('Digital Transformation', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Based on an understanding of these phases,
we discuss the strategic imperatives that result from digital transfor-
mation, including digital resources, organizational structure, growth
strategy, and metrics and goals.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
• How to construct self-organizing teams to attain digital transformation?,Organizational Change,4.0,[],Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Contents lists available at ScienceDirect
Journal of Business Research
journal homepage: www.elsevier.com/locate/jbusres
Digital transformation: A multidisciplinary reﬂection and research agenda☆
Peter C. Verhoefa,⁎, Thijs Broekhuizena, Yakov Bartb, Abhi Bhattacharyaa, John Qi Donga,
Nicolai Fabiana, Michael Haenleinc
a University of Groningen, Groningen, the Netherlands
b Northeastern University, Boston, United States
c ESCP Europe, Paris, France
A R T I C L E I N F O
Keywords:
Digital business
Business models
Business strategy
A B S T R A C T
Digital transformation and resultant business model innovation have fundamentally altered consumers’ ex-
pectations and behaviors, putting immense pressure on traditional ﬁrms, and disrupting numerous markets.",Organizational Change,4.0,"[('ScienceDirect\nJournal of Business Research', 'ORG'), ('Digital', 'ORG'), ('☆', 'PRODUCT'), ('Peter C. Verhoefa,⁎', 'PERSON'), ('Thijs Broekhuizena', 'PERSON'), ('Yakov Bartb', 'PERSON'), ('Abhi Bhattacharyaa', 'ORG'), ('John Qi Donga', 'PERSON'), ('Nicolai Fabiana', 'PERSON'), ('Michael Haenleinc', 'PERSON'), ('University of Groningen', 'ORG'), ('Groningen', 'GPE'), ('Netherlands', 'GPE'), ('Northeastern University', 'ORG'), ('Boston', 'GPE'), ('United States', 'GPE'), ('Europe', 'LOC'), ('Paris', 'GPE'), ('France', 'GPE'), ('Digital', 'ORG'), ('Digital', 'ORG')]",Business Models,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
Digital work in a digitally challenged organization.,others,1.0,"[('Digital', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Perhaps incumbents should skip the phase of digita-
lization to realize digital transformation, as this phase may hinder or
obstruct digital transformation.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Alibaba, and JD) start
External Drivers 
of Digital 
Transformation
- Digital 
Technology 
- Digital 
Competition 
- Digital Customer 
Behavior
Phases of Digital 
Transformation
- Digitization
- Digitalization
- Digital 
Transformation 
Strategic 
Imperatives of 
Digital 
Transformation
- Digital 
Resources
- Organizational 
Structure
- Growth Strategy
- Metrics and 
Goals
Fig.",others,1.0,"[('JD', 'GPE'), ('External Drivers', 'ORG'), ('Digital', 'ORG'), ('Digital', 'ORG'), ('Digital \nTransformation\n- Digital \nResources\n- Organizational \nStructure\n- Growth Strategy\n- Metrics', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digital Transformation of business
models — Best practice, enablers, and roadmap.",Organizational Change,0.16,"[('Digital Transformation', 'ORG'), ('roadmap', 'STRATEGY')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Although perhaps not each of these technologies
will be as powerful as expected, the wide entrance of new digital
technologies clearly signals the need for ﬁrms to transform their busi-
ness digitally.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digitalization describes how IT or digital technologies can be used to
alter existing business processes (Li et al., 2016).",Et Al,0.14,"[('Li et al.', 'PERSON'), ('2016', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"For practitioners, it is necessary to bring
